x	y
529	844
522	199
928	708
563	94
880	816
831	271
98	188
649	553
821	239
40	513
52	536
66	618
486	861
845	606
191	902
351	283
537	451
318	650
642	840
369	520
221	221
984	662
388	835
23	362
372	574
957	953
398	982
686	329
967	405
717	838
403	816
821	303
950	586
111	234
490	19
839	750
954	263
110	826
319	614
255	482
123	101
736	53
488	988
443	638
322	467
286	130
504	836
453	966
517	919
490	994
639	746
499	658
254	877
94	435
811	683
329	420
319	924
657	155
698	263
236	647
717	671
774	642
436	72
330	302
190	627
918	603
865	219
358	414
249	533
262	186
644	181
256	69
855	832
332	969
659	465
88	150
602	974
449	460
633	400
232	187
75	985
934	525
637	540
799	608
411	699
353	87
659	277
149	541
365	944
734	510
56	237
531	109
11	602
58	981
928	541
222	514
757	456
491	707
570	446
289	598
704	817
577	217
756	424
624	306
291	61
124	503
276	311
486	294
24	840
283	219
558	683
815	92
104	812
348	17
35	249
203	580
210	28
340	737
275	730
827	307
293	32
787	276
599	709
616	973
960	797
622	830
246	239
845	419
712	227
194	597
922	913
491	626
635	702
172	469
437	944
641	17
408	535
700	218
991	152
688	391
571	133
719	156
911	315
46	27
651	555
639	667
318	199
239	76
385	413
975	575
82	636
322	868
456	115
773	766
66	117
720	718
594	72
835	846
125	548
167	16
415	648
825	641
383	622
470	923
120	879
923	884
423	968
990	262
590	90
94	968
141	534
83	94
894	325
299	452
578	432
357	457
719	650
73	804
764	20
732	375
879	885
69	701
428	944
610	680
693	338
109	771
590	735
135	883
977	761
298	923
561	222
721	298
422	571
661	557
42	191
316	183
529	665
300	318
263	239
333	736
429	869
578	921
179	763
66	116
185	740
845	748
917	857
539	482
696	408
764	576
773	581
471	870
156	828
869	304
730	951
678	439
304	504
722	553
559	40
177	756
629	169
784	208
492	733
336	102
214	960
864	42
636	695
146	236
914	433
750	484
911	818
885	86
569	244
660	692
144	436
297	559
425	392
270	33
940	682
412	973
635	28
694	765
497	300
644	750
710	201
202	212
883	476
885	671
640	733
838	835
90	175
168	937
699	576
798	656
865	993
293	828
643	850
945	867
605	357
333	503
873	81
636	635
203	214
393	937
900	295
31	322
168	86
114	929
509	337
648	18
90	84
273	146
189	971
328	664
807	637
514	768
894	770
570	510
567	260
648	28
745	609
277	758
943	30
615	598
348	542
387	59
530	663
348	222
882	696
985	70
217	253
329	139
583	828
224	669
411	863
449	661
683	331
351	258
440	513
512	727
543	707
922	103
779	779
571	245
332	862
768	859
74	54
830	568
331	976
571	738
793	384
840	88
108	795
18	94
24	845
280	402
7	385
622	697
969	489
497	122
779	685
928	151
978	106
531	74
784	626
69	435
946	34
724	229
201	466
218	134
496	36
174	232
861	67
842	307
222	826
561	539
800	16
459	17
382	87
313	195
155	714
98	843
565	984
149	656
563	729
452	716
381	58
857	451
210	762
153	255
758	180
466	387
260	485
982	440
753	302
620	726
589	3
184	985
411	487
613	915
596	144
283	443
409	280
484	783
7	996
185	534
365	164
318	190
916	286
344	855
489	98
48	346
994	340
480	300
517	163
283	245
936	334
963	76
618	693
555	192
297	490
404	480
720	818
984	638
283	781
283	720
354	300
485	793
192	98
365	378
616	832
711	590
650	738
977	924
998	445
970	589
505	911
964	228
224	765
932	246
414	107
834	988
586	120
280	166
672	334
579	49
275	872
418	335
910	61
568	567
881	812
263	259
726	399
323	492
563	738
588	942
539	295
3	157
570	363
220	640
427	853
917	906
605	558
178	814
867	49
660	843
575	409
902	248
67	604
567	663
657	787
353	63
349	298
655	924
886	388
106	610
882	152
950	418
322	5
668	708
873	269
762	570
974	40
455	55
354	994
716	627
219	345
423	521
458	371
204	180
404	439
883	512
886	81
185	991
252	417
341	67
914	150
534	223
502	938
303	611
517	800
567	95
569	412
642	108
551	699
331	178
217	512
227	861
44	436
273	998
506	817
100	222
461	561
227	197
109	606
957	237
920	623
700	181
937	610
988	559
461	266
104	715
167	46
150	914
596	166
970	26
316	484
761	423
233	458
680	9
716	28
459	209
129	704
566	888
510	610
101	325
242	241
652	711
454	360
336	335
253	545
340	119
25	782
548	221
679	154
923	588
308	806
217	98
160	558
862	843
974	839
324	756
534	674
976	278
124	54
792	908
930	450
456	349
973	715
427	71
367	295
888	376
25	673
726	782
811	111
909	249
693	161
754	943
247	683
15	693
225	822
65	926
85	493
191	4
510	558
971	344
834	698
276	253
338	598
805	391
55	757
734	89
671	406
821	287
355	826
574	640
406	758
203	347
104	977
386	310
236	397
917	83
500	799
773	913
199	586
570	231
300	252
532	8
529	230
624	621
348	441
842	320
236	388
388	926
554	960
955	906
253	173
50	147
467	629
552	675
358	264
148	811
769	376
639	365
221	941
246	225
529	980
477	260
890	24
851	313
197	810
867	461
400	900
147	391
495	165
625	65
888	530
583	461
147	234
384	115
615	432
962	879
435	872
599	309
771	349
174	290
532	464
915	401
167	163
489	652
944	378
786	664
389	886
818	740
679	921
97	587
83	401
358	761
216	451
28	601
41	461
520	892
394	826
714	649
544	12
632	132
233	3
698	891
918	413
194	189
294	363
867	794
539	597
170	376
447	260
315	383
563	697
724	288
376	56
692	640
907	922
108	960
656	247
930	558
631	486
886	62
161	801
62	758
357	841
86	537
968	391
82	238
404	229
211	371
157	857
133	969
950	319
702	921
658	450
490	163
229	477
375	419
738	435
661	707
390	60
776	848
752	886
550	514
785	969
680	986
369	989
500	648
587	915
539	662
79	561
886	316
298	915
938	370
72	588
166	520
204	30
101	203
200	634
559	917
397	413
321	743
84	592
133	930
109	263
487	240
69	85
96	278
750	628
318	313
791	394
424	379
74	567
63	905
385	793
790	891
620	294
156	222
336	660
153	486
611	130
689	511
798	46
546	370
719	892
946	324
51	590
708	431
494	715
351	524
762	205
897	708
548	344
504	978
774	226
461	374
652	56
946	172
765	579
381	837
654	359
264	615
36	275
264	508
480	412
184	127
522	235
283	792
766	241
769	190
573	737
474	706
280	267
71	528
971	281
110	536
202	641
807	907
786	265
736	343
379	171
329	413
989	671
620	536
911	705
553	805
493	230
261	614
260	261
961	595
699	158
844	894
867	503
346	657
675	845
566	507
856	19
433	380
165	852
707	869
543	702
566	176
793	722
121	666
462	431
958	315
487	600
3	671
412	135
399	741
341	233
381	352
608	429
289	778
547	607
479	925
726	19
32	740
159	302
722	777
882	441
486	411
835	118
945	660
359	159
149	62
729	961
505	328
926	226
46	57
729	974
97	806
85	761
640	940
319	820
107	922
252	156
510	284
810	443
7	880
619	375
941	891
500	287
50	353
720	906
529	62
395	629
472	858
893	824
184	217
122	690
688	456
609	152
57	819
808	22
654	619
184	142
869	540
117	178
424	715
450	297
872	170
290	989
962	828
709	443
954	510
402	446
830	355
261	904
429	865
955	871
637	194
576	398
338	781
111	138
467	142
875	151
570	678
625	868
712	520
395	863
72	465
313	325
506	337
513	250
172	167
608	367
83	922
49	609
127	863
993	425
954	818
940	953
1000	294
918	524
6	456
21	15
891	733
187	682
623	522
995	326
193	978
834	283
664	316
209	630
14	921
81	612
903	121
579	100
77	892
863	584
71	602
255	984
268	731
131	924
132	910
753	156
315	179
168	534
395	880
861	496
689	764
449	923
561	846
203	978
980	730
415	128
8	461
854	881
765	901
837	843
790	555
327	825
970	592
321	719
196	707
736	880
298	619
543	374
535	942
740	628
777	186
6	755
561	859
200	276
483	97
414	182
448	52
827	977
327	634
78	98
838	397
966	897
853	607
504	167
930	309
672	80
321	693
345	280
245	269
147	843
863	749
915	423
905	405
563	140
281	927
852	510
15	183
516	499
666	280
45	203
526	263
578	851
799	67
